SpecimenCode,Subfamily,Genus,SpeciesGroup,Species,Author,Date,LifeStageSex,Medium,SpecimenNotes,DNANotes,LocatedAt,OwnedBy,TypeStatus,DeterminedBy,DateDetermined,CollectionCode,CollectedBy,DateCollectedStart,DateCollectedEnd,Method,Habitat,Microhabitat,CollectionNotes,LocalityName,LocalityNotes,Adm2,Adm1,Country,Elevation (m),LocLatitude,LocLongitude,LatLonMaxError,BiogeographicRegion,ElevationMaxError,Blank,dd,mm,yy,day range (0 = no range
,Formicinae,Polyergus,,mexicanus,Forel,1899,w,pin,,,KWG Collection,,,KWG,,KWG170712-01,KWG,20170712,20170712,hand,Pine-oak woodland,stray,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Trachymyrmex,,arizonensis,(Wheeler),1907,w,pin,,,KWG Collection,,,KWG,,KWG170712-02,KWG,20170712,20170712,hand,Pine-oak woodland,under stone,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Trachymyrmex,,arizonensis,(Wheeler),1907,w,pin,,,KWG Collection,,,KWG,,KWG170712-02,KWG,20170712,20170712,hand,Pine-oak woodland,under stone,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Trachymyrmex,,arizonensis,(Wheeler),1907,w,pin,,,KWG Collection,,,KWG,,KWG170712-02,KWG,20170712,20170712,hand,Pine-oak woodland,under stone,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Trachymyrmex,,arizonensis,(Wheeler),1907,w,pin,,,KWG Collection,,,KWG,,KWG170712-02,KWG,20170712,20170712,hand,Pine-oak woodland,under stone,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Formicinae,Camponotus,,cf. semitestaceus,,,2w,pin,,,KWG Collection,,,KWG,,KWG170712-03,KWG,20170712,20170712,hand,Pine-oak woodland,under stone,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Pogonomyrmex,,barbatus,Smith,1858,w,pin,,,KWG Collection,,,KWG,,KWG170712-04,KWG,20170712,20170712,hand,Pine-oak woodland,under stone,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Pogonomyrmex,,barbatus,Smith,1858,w,pin,,,KWG Collection,,,KWG,,KWG170712-04,KWG,20170712,20170712,hand,Pine-oak woodland,under stone,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Pogonomyrmex,,barbatus,Smith,1858,w,pin,,,KWG Collection,,,KWG,,KWG170712-04,KWG,20170712,20170712,hand,Pine-oak woodland,under stone,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Dorylinae,Syscia,,augustae,(Wheeler),1902,w,pin,,,KWG Collection,,,KWG,,KWG170714-01,KWG,20170714,20170714,hand,Pine-oak woodland,under stone,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Crematogaster,,vermiculata,Emery,1895,w,pin,,,KWG Collection,,,KWG,,KWG170714-02,KWG,20170714,20170714,hand,Pine-oak woodland,under stone,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Crematogaster,,vermiculata,Emery,1895,w,pin,,,KWG Collection,,,KWG,,KWG170714-02,KWG,20170714,20170714,hand,Pine-oak woodland,under stone,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Crematogaster,,vermiculata,Emery,1895,w,pin,,,KWG Collection,,,KWG,,KWG170714-02,KWG,20170714,20170714,hand,Pine-oak woodland,under stone,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Crematogaster,,vermiculata,Emery,1895,w,pin,,,KWG Collection,,,KWG,,KWG170714-02,KWG,20170714,20170714,hand,Pine-oak woodland,under stone,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Pogonomyrmex,,huachucanus,Wheeler,1914,w,pin,,,KWG Collection,,,KWG,,KWG170714-03,KWG,20170714,20170714,hand,Pine-oak woodland,exposed soil,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Pogonomyrmex,,huachucanus,Wheeler,1914,w,pin,,,KWG Collection,,,KWG,,KWG170714-03,KWG,20170714,20170714,hand,Pine-oak woodland,exposed soil,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Pogonomyrmex,,huachucanus,Wheeler,1914,w,pin,,,KWG Collection,,,KWG,,KWG170714-03,KWG,20170714,20170714,hand,Pine-oak woodland,exposed soil,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Myrmicinae,Pogonomyrmex,,huachucanus,Wheeler,1914,w,pin,,,KWG Collection,,,KWG,,KWG170714-03,KWG,20170714,20170714,hand,Pine-oak woodland,exposed soil,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Formicinae,Myrmecocystus,,mendax,Wheeler,1908,w,pin,,,KWG Collection,,,KWG,,KWG170714-04,KWG,20170714,20170714,hand,Pine-oak woodland,exposed soil,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
,Formicinae,Myrmecocystus,,mendax,Wheeler,1908,w,pin,,,KWG Collection,,,KWG,,KWG170714-04,KWG,20170714,20170714,hand,Pine-oak woodland,exposed soil,,South Western Research Station (SWRS),,Cochise County,Arizona,USA,1665,31.8839,-109.2061,,Nearctic,5,,,,,
